Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,State,Sales_Channel,Category,Sub_Category,Unit_Price,Quantity,Discount , Discount_Amount  , Gross_Revenue  ,Net_Revenue,COGS,Gross_Profit,Shipping_Method,Shipping_Cost,Days_to_Ship,Payment_Method,Is_Returned,Return_Reason,Customer_Rating
ORD-100016,11/20/2022,CUST-05543,Returning,East,Connecticut,Phone Order,Home & Garden,Lighting,193.63,2,0.07,27.11,387.26,360.15,193.63,166.52,Overnight,24.99,1,Apple Pay,No,,
ORD-100017,11/15/2022,CUST-07931,New,South,Georgia,Online,Clothing,Accessories,24.39,2,0.05,2.44,48.78,46.34,20.49,25.85,Express,12.99,1,PayPal,Yes,Not as Described,5
ORD-100018,6/23/2024,CUST-07837,VIP,North,Minnesota,Online,Toys,Puzzles,82.03,2,0.15,24.61,164.06,139.45,73.83,65.62,Express,12.99,2,Apple Pay,Yes,Not as Described,5
ORD-100019,5/27/2023,CUST-02331,VIP,Central,Missouri,Phone Order,Clothing,Footwear,195.59,3,0.15,88.02,586.77,498.75,246.44,252.31,Standard,4.99,4,PayPal,Yes,Not as Described,4
ORD-100020,8/10/2022,CUST-02864,Returning,West,Washington,Online,Toys,Action Figures,54.68,2,0,0,109.36,109.36,49.21,60.15,Free Shipping,0,10,Cash,No,,
ORD-100021,11/9/2024,CUST-03174,New,East,New York,Online,Home & Garden,Lighting,42.18,2,0,0,84.36,84.36,42.18,42.18,Free Shipping,0,9,Gift Card,No,,5
ORD-100022,1/25/2023,CUST-07037,Loyal,West,California,In-Store,Books,Fiction,36.16,1,0,0,36.16,36.16,13.74,22.42,Free Shipping,0,7,Apple Pay,No,,4
ORD-100023,11/4/2024,CUST-04105,New,East,Massachusetts,In-Store,Clothing,Jackets,140.29,4,0.05,28.06,561.16,533.1,235.69,297.41,Overnight,24.99,1,Debit Card,No,,1
ORD-100024,10/22/2023,CUST-06397,VIP,West,Washington,In-Store,Food & Beverage,Organic,11.35,1,0.15,1.7,11.35,9.65,6.24,3.41,Overnight,24.99,1,PayPal,No,,5
ORD-100025,10/29/2022,CUST-05715,Returning,South,Alabama,In-Store,Electronics,Laptops,293.03,2,0.07,41.02,586.06,545.04,363.36,181.68,Free Shipping,0,6,PayPal,No,,1
ORD-100026,12/27/2022,CUST-04806,New,West,California,In-Store,Toys,Puzzles,137.83,5,0.05,34.46,689.15,654.69,310.12,344.57,Standard,4.99,7,Cash,No,,5
ORD-100027,7/2/2024,CUST-04969,New,West,Oregon,Mobile App,Home & Garden,Garden Tools,383.5,1,0,0,383.5,383.5,191.75,191.75,Free Shipping,0,6,Apple Pay,No,,4
ORD-100028,11/5/2022,CUST-07823,Returning,South,Texas,Online,Clothing,Women's Tops,92.72,4,0.07,25.96,370.88,344.92,155.77,189.15,Standard,4.99,6,Credit Card,No,,5
ORD-100029,12/22/2023,CUST-02797,Returning,West,Arizona,In-Store,Clothing,Jackets,65.48,1,0,0,65.48,65.48,27.5,37.98,Standard,4.99,6,Debit Card,No,,5
ORD-100030,12/29/2024,CUST-02488,Returning,Central,Kansas,In-Store,Electronics,Headphones,112.85,1,0,0,112.85,112.85,69.97,42.88,Free Shipping,0,5,Credit Card,No,,4
ORD-100031,8/21/2024,CUST-01254,VIP,North,Michigan,Online,Electronics,Cameras,1237,1,0,0,1237,1237,766.94,470.06,Standard,4.99,3,Credit Card,No,,
ORD-100032,8/10/2024,CUST-03548,New,South,Louisiana,In-Store,Books,Educational,12.53,1,0,0,12.53,12.53,4.76,7.77,Free Shipping,0,9,PayPal,No,,4
ORD-100033,5/13/2023,CUST-06419,New,Central,Illinois,Mobile App,Clothing,Footwear,83.55,1,0,0,83.55,83.55,35.09,48.46,Express,12.99,3,Debit Card,No,,3
ORD-100034,11/10/2022,CUST-06988,Returning,East,Connecticut,Mobile App,Home & Garden,Lighting,363.63,1,0,0,363.63,363.63,181.81,181.82,Express,12.99,3,Debit Card,No,,4
ORD-100035,2/16/2024,CUST-05883,Loyal,West,Oregon,Online,Beauty,Skincare,87.12,1,0,0,87.12,87.12,34.85,52.27,Standard,4.99,6,Credit Card,No,,
ORD-100036,5/8/2023,CUST-05764,Loyal,West,California,Online,Food & Beverage,Organic,32.67,2,0,0,65.34,65.34,35.94,29.4,Standard,4.99,6,Credit Card,No,,4
ORD-100037,5/30/2023,CUST-02772,Loyal,South,Georgia,Online,Sports & Outdoors,Fitness,338.9,1,0.1,33.89,338.9,305.01,162.67,142.34,Standard,4.99,4,Debit Card,No,,5
ORD-100038,1/10/2024,CUST-02034,New,North,Montana,Online,Home & Garden,Bedding,389.95,2,0,0,779.9,779.9,389.95,389.95,Standard,4.99,4,Credit Card,Yes,Not as Described,4
ORD-100039,9/5/2024,CUST-05610,New,West,Nevada,Online,Clothing,Men's Tops,190.58,1,0,0,190.58,190.58,80.04,110.54,Standard,4.99,7,Debit Card,No,,4
ORD-100040,2/19/2024,CUST-07062,Returning,East,Connecticut,Phone Order,Food & Beverage,Organic,12.43,2,0.07,1.74,24.86,23.12,13.67,9.45,Express,12.99,1,Credit Card,No,,
ORD-100041,6/3/2022,CUST-03316,New,West,Nevada,In-Store,Home & Garden,Furniture,427.72,1,0.05,21.39,427.72,406.33,213.86,192.47,Standard,4.99,4,Debit Card,No,,5
ORD-100042,4/6/2023,CUST-03364,Returning,South,Texas,Online,Home & Garden,Bedding,274.7,1,0,0,274.7,274.7,137.35,137.35,Free Shipping,0,9,PayPal,No,,4
ORD-100043,3/23/2022,CUST-05809,Loyal,Central,Indiana,Online,Toys,Outdoor Toys,190.79,5,0.1,95.39,953.95,858.56,429.28,429.28,Free Shipping,0,9,Credit Card,No,,
ORD-100044,6/24/2024,CUST-03730,New,Central,Missouri,In-Store,Books,Non-Fiction,21.47,1,0,0,21.47,21.47,8.16,13.31,Standard,4.99,6,Debit Card,No,,5
ORD-100045,7/20/2024,CUST-01009,Loyal,East,New Jersey,Online,Clothing,Footwear,136.66,1,0.1,13.67,136.66,122.99,57.4,65.59,Free Shipping,0,6,PayPal,No,,5
ORD-100046,7/1/2023,CUST-02297,Returning,West,Nevada,Online,Home & Garden,Bedding,200.23,1,0.07,14.02,200.23,186.21,100.11,86.1,Standard,4.99,3,Gift Card,No,,3
ORD-100047,10/17/2024,CUST-04142,New,East,Massachusetts,Mobile App,Books,Self-Help,16,2,0.05,1.6,32,30.4,12.16,18.24,Express,12.99,2,Gift Card,No,,
ORD-100048,7/2/2023,CUST-04967,Loyal,East,Connecticut,In-Store,Electronics,Tablets,481.39,2,0.1,96.28,962.78,866.5,596.92,269.58,Express,12.99,3,PayPal,No,,3
ORD-100049,4/24/2023,CUST-07723,Returning,East,Massachusetts,In-Store,Toys,Action Figures,134.92,1,0.07,9.44,134.92,125.48,60.71,64.77,Overnight,24.99,1,Apple Pay,No,,4
ORD-100050,12/13/2024,CUST-03171,New,South,Alabama,Mobile App,Toys,Action Figures,76.3,2,0.05,7.63,152.6,144.97,68.67,76.3,Free Shipping,0,10,Gift Card,No,,5
ORD-100051,9/26/2024,CUST-04555,VIP,North,Wisconsin,In-Store,Electronics,Cameras,1272.91,2,0.15,381.87,2545.82,2163.95,1578.41,585.54,Overnight,24.99,1,Cash,No,,
ORD-100052,10/27/2023,CUST-02475,Returning,East,New Jersey,Online,Electronics,Tablets,262.47,1,0.07,18.37,262.47,244.1,162.73,81.37,Overnight,24.99,1,Credit Card,No,,
ORD-100053,8/2/2024,CUST-01605,New,East,New York,Mobile App,Books,Children's,26.54,1,0.05,1.33,26.54,25.21,10.09,15.12,Express,12.99,1,Debit Card,No,,4
ORD-100054,9/16/2024,CUST-07799,Loyal,West,Arizona,Online,Clothing,Women's Tops,136.76,1,0.1,13.68,136.76,123.08,57.44,65.64,Standard,4.99,7,Credit Card,No,,2
ORD-100055,8/10/2023,CUST-06400,Loyal,East,Pennsylvania,In-Store,Sports & Outdoors,Water Sports,314.35,1,0,0,314.35,314.35,150.89,163.46,Overnight,24.99,1,Debit Card,No,,
ORD-100056,1/18/2024,CUST-03997,New,East,New Jersey,In-Store,Home & Garden,Furniture,327.88,4,0.05,65.58,1311.52,1245.94,655.76,590.18,Express,12.99,3,Credit Card,No,,4
ORD-100057,8/24/2022,CUST-07591,VIP,South,Florida,Mobile App,Food & Beverage,Snacks,46.79,1,0,0,46.79,46.79,25.73,21.06,Free Shipping,0,10,PayPal,No,,
ORD-100058,6/21/2023,CUST-05997,VIP,North,Wisconsin,In-Store,Toys,Outdoor Toys,54.39,1,0.15,8.16,54.39,46.23,24.48,21.75,Standard,4.99,4,Debit Card,No,,4
ORD-100059,9/16/2023,CUST-07087,Returning,North,Wisconsin,Mobile App,Food & Beverage,Snacks,57.23,1,0.07,4.01,57.23,53.22,31.48,21.74,Overnight,24.99,1,Credit Card,No,,5
ORD-100060,7/27/2023,CUST-04009,Returning,South,Alabama,Online,Electronics,Tablets,730.57,5,0,0,3652.85,3652.85,2264.77,1388.08,Free Shipping,0,5,Credit Card,No,,
ORD-100061,3/11/2023,CUST-05540,New,East,Pennsylvania,Phone Order,Electronics,Laptops,308.94,1,0.05,15.45,308.94,293.49,191.54,101.95,Free Shipping,0,7,PayPal,No,,
ORD-100062,10/24/2022,CUST-07458,New,East,Pennsylvania,Online,Home & Garden,Lighting,157.99,1,0,0,157.99,157.99,79,78.99,Standard,4.99,6,Apple Pay,Yes,Changed Mind,5
ORD-100063,11/17/2024,CUST-05271,Loyal,Central,Ohio,Mobile App,Books,Children's,20.66,2,0,0,41.32,41.32,15.7,25.62,Free Shipping,0,10,Credit Card,No,,4
ORD-100064,6/27/2024,CUST-06833,Returning,East,Connecticut,Online,Clothing,Men's Tops,75.15,5,0.07,26.3,375.75,349.45,157.81,191.64,Express,12.99,3,Credit Card,No,,3
ORD-100065,3/17/2023,CUST-04496,Returning,South,Alabama,Online,Toys,Educational,71.43,1,0.07,5,71.43,66.43,32.14,34.29,Standard,4.99,3,Debit Card,No,,3
ORD-100066,7/17/2022,CUST-03896,Returning,Central,Illinois,In-Store,Beauty,Makeup,106.09,4,0.07,29.71,424.36,394.65,169.74,224.91,Standard,4.99,5,Debit Card,No,,
ORD-100067,12/22/2023,CUST-04011,New,South,Florida,In-Store,Electronics,Cameras,193.6,1,0,0,193.6,193.6,120.03,73.57,Free Shipping,0,10,Credit Card,No,,5
ORD-100068,2/23/2022,CUST-02173,Returning,South,Georgia,In-Store,Books,Fiction,31.78,1,0,0,31.78,31.78,12.08,19.7,Standard,4.99,7,Credit Card,No,,
ORD-100069,5/9/2024,CUST-01430,VIP,South,Georgia,Online,Food & Beverage,Supplements,16.66,2,0,0,33.32,33.32,18.33,14.99,Express,12.99,2,Credit Card,No,,4
ORD-100070,7/14/2023,CUST-06465,Loyal,North,Michigan,Online,Sports & Outdoors,Water Sports,156.07,1,0.1,15.61,156.07,140.46,74.91,65.55,Express,12.99,2,Credit Card,Yes,Wrong Size,3
ORD-100071,11/3/2023,CUST-06472,New,West,Washington,Online,Electronics,Headphones,1057.74,1,0.05,52.89,1057.74,1004.85,655.8,349.05,Express,12.99,3,Debit Card,Yes,Defective,2
ORD-100072,4/8/2024,CUST-07815,Loyal,North,North Dakota,Online,Toys,Outdoor Toys,141.95,1,0.1,14.2,141.95,127.75,63.88,63.87,Express,12.99,2,Credit Card,No,,4
ORD-100073,11/27/2023,CUST-03876,New,North,Montana,In-Store,Clothing,Women's Tops,149.56,3,0.05,22.43,448.68,426.25,188.45,237.8,Free Shipping,0,9,Debit Card,No,,
ORD-100074,11/10/2022,CUST-05624,Returning,South,Alabama,In-Store,Beauty,Skincare,80.72,5,0,0,403.6,403.6,161.44,242.16,Overnight,24.99,1,Debit Card,No,,4
ORD-100075,9/13/2023,CUST-07813,Returning,North,Michigan,In-Store,Books,Self-Help,20.05,2,0.07,2.81,40.1,37.29,15.24,22.05,Standard,4.99,7,Credit Card,No,,4
ORD-100076,3/26/2022,CUST-07643,VIP,South,Georgia,In-Store,Food & Beverage,Beverages,72.42,1,0.15,10.86,72.42,61.56,39.83,21.73,Express,12.99,3,Debit Card,No,,
ORD-100077,6/18/2024,CUST-06168,Loyal,East,New Jersey,Online,Home & Garden,Bedding,395.43,1,0,0,395.43,395.43,197.72,197.71,Standard,4.99,7,PayPal,No,,5
ORD-100078,6/16/2022,CUST-06271,New,East,Massachusetts,Online,Home & Garden,Bedding,479.15,3,0.05,71.87,1437.45,1365.58,718.72,646.86,Express,12.99,1,PayPal,No,,5
ORD-100079,5/17/2024,CUST-02855,VIP,East,New Jersey,Online,Beauty,Skincare,119.99,1,0,0,119.99,119.99,48,71.99,Express,12.99,1,Credit Card,No,,4
ORD-100080,11/21/2023,CUST-07627,Loyal,South,Louisiana,Online,Toys,Puzzles,181.79,2,0,0,363.58,363.58,163.61,199.97,Free Shipping,0,10,Credit Card,No,,5
ORD-100081,7/8/2024,CUST-06556,VIP,South,Georgia,Phone Order,Sports & Outdoors,Water Sports,427.52,5,0.15,320.64,2137.6,1816.96,1026.05,790.91,Standard,4.99,4,PayPal,No,,4
ORD-100082,10/11/2022,CUST-03335,Loyal,West,Oregon,In-Store,Books,Fiction,11.51,1,0.1,1.15,11.51,10.36,4.37,5.99,Free Shipping,0,7,Credit Card,No,,3
ORD-100083,2/24/2022,CUST-03610,New,West,Arizona,Online,Toys,Action Figures,187.05,3,0.05,28.06,561.15,533.09,252.52,280.57,Standard,4.99,5,Debit Card,No,,
ORD-100084,10/12/2022,CUST-06957,New,Central,Illinois,Mobile App,Food & Beverage,Organic,50.66,1,0.05,2.53,50.66,48.13,27.86,20.27,Standard,4.99,4,Credit Card,No,,
ORD-100085,7/25/2024,CUST-03386,Returning,West,Arizona,In-Store,Clothing,Men's Tops,94.4,2,0,0,188.8,188.8,79.3,109.5,Overnight,24.99,1,PayPal,No,,2
ORD-100086,11/5/2024,CUST-03077,Returning,Central,Illinois,Online,Toys,Puzzles,152.74,1,0,0,152.74,152.74,68.73,84.01,Free Shipping,0,7,Debit Card,No,,3
ORD-100087,10/1/2022,CUST-06696,Loyal,Central,Indiana,Mobile App,Electronics,Tablets,648.15,1,0,0,648.15,648.15,401.85,246.3,Express,12.99,1,Credit Card,No,,2
ORD-100088,3/27/2022,CUST-02565,New,Central,Missouri,Phone Order,Beauty,Hair Care,41.46,3,0,0,124.38,124.38,49.75,74.63,Free Shipping,0,10,Debit Card,No,,5
ORD-100089,6/19/2024,CUST-01676,Loyal,South,Alabama,In-Store,Toys,Outdoor Toys,148.95,1,0.1,14.89,148.95,134.06,67.03,67.03,Standard,4.99,3,Credit Card,No,,4
ORD-100090,8/29/2023,CUST-03888,Returning,Central,Missouri,Online,Books,Children's,33.81,1,0.07,2.37,33.81,31.44,12.85,18.59,Overnight,24.99,1,Debit Card,No,,
ORD-100091,11/24/2022,CUST-04136,Loyal,Central,Missouri,Online,Food & Beverage,Coffee & Tea,76.2,1,0,0,76.2,76.2,41.91,34.29,Standard,4.99,3,Credit Card,No,,4
ORD-100092,12/20/2024,CUST-05601,New,East,Pennsylvania,Phone Order,Clothing,Footwear,36.78,2,0.05,3.68,73.56,69.88,30.9,38.98,Express,12.99,1,Credit Card,No,,5
ORD-100093,10/5/2022,CUST-06470,VIP,South,Alabama,Phone Order,Clothing,Jackets,79.26,1,0.15,11.89,79.26,67.37,33.29,34.08,Free Shipping,0,9,Apple Pay,No,,5
ORD-100094,4/5/2023,CUST-07583,Returning,South,Florida,Mobile App,Clothing,Women's Tops,196.85,1,0.07,13.78,196.85,183.07,82.68,100.39,Standard,4.99,7,Credit Card,Yes,Changed Mind,5
ORD-100095,6/1/2022,CUST-05516,New,North,North Dakota,In-Store,Home & Garden,Bedding,391.07,1,0.05,19.55,391.07,371.52,195.53,175.99,Free Shipping,0,6,Debit Card,No,,2
ORD-100096,9/15/2023,CUST-03052,Loyal,East,Pennsylvania,Online,Home & Garden,Kitchen,133.85,4,0,0,535.4,535.4,267.7,267.7,Free Shipping,0,9,Cash,No,,3
ORD-100097,11/12/2022,CUST-01372,Loyal,Central,Indiana,Mobile App,Electronics,Cameras,1235.67,2,0,0,2471.34,2471.34,1532.23,939.11,Standard,4.99,3,Debit Card,No,,5
ORD-100098,8/17/2023,CUST-04966,New,South,Alabama,Online,Books,Children's,27.5,1,0,0,27.5,27.5,10.45,17.05,Express,12.99,2,Credit Card,No,,5
ORD-100099,1/29/2024,CUST-04146,New,South,Alabama,Online,Clothing,Footwear,174.86,1,0.05,8.74,174.86,166.12,73.44,92.68,Standard,4.99,5,Debit Card,No,,5
ORD-100100,10/17/2024,CUST-02762,Returning,East,Massachusetts,Online,Food & Beverage,Organic,48.74,1,0,0,48.74,48.74,26.81,21.93,Free Shipping,0,5,Cash,No,,5
ORD-100101,8/9/2022,CUST-02594,Returning,East,New Jersey,Mobile App,Toys,Board Games,80.78,1,0,0,80.78,80.78,36.35,44.43,Express,12.99,3,Credit Card,No,,5
ORD-100102,9/1/2022,CUST-02630,VIP,West,Oregon,Mobile App,Home & Garden,Furniture,369.42,1,0,0,369.42,369.42,184.71,184.71,Free Shipping,0,9,Credit Card,Yes,Not as Described,4
ORD-100103,10/14/2022,CUST-05155,Loyal,East,Pennsylvania,Online,Beauty,Wellness,101.1,1,0.1,10.11,101.1,90.99,40.44,50.55,Express,12.99,2,Debit Card,No,,4
ORD-100104,9/23/2023,CUST-06909,Loyal,West,Oregon,Phone Order,Electronics,Cameras,114.18,1,0.1,11.42,114.18,102.76,70.79,31.97,Express,12.99,1,PayPal,No,,4
ORD-100105,8/14/2022,CUST-06009,New,West,Oregon,Online,Sports & Outdoors,Fitness,416.21,3,0.05,62.43,1248.63,1186.2,599.34,586.86,Express,12.99,3,Debit Card,Yes,Wrong Size,4
ORD-100106,10/5/2023,CUST-07583,Loyal,Central,Indiana,In-Store,Home & Garden,Garden Tools,422.11,2,0,0,844.22,844.22,422.11,422.11,Overnight,24.99,1,PayPal,No,,3
ORD-100107,3/1/2023,CUST-05697,Loyal,West,Oregon,In-Store,Food & Beverage,Supplements,55.74,1,0.1,5.57,55.74,50.17,30.66,19.51,Standard,4.99,5,Cash,No,,5
ORD-100108,6/11/2022,CUST-03225,New,East,Massachusetts,Online,Beauty,Fragrance,25.09,2,0.05,2.51,50.18,47.67,20.07,27.6,Express,12.99,1,Apple Pay,No,,4
ORD-100109,4/26/2024,CUST-04896,VIP,North,Wisconsin,Online,Beauty,Fragrance,62.51,1,0.15,9.38,62.51,53.13,25,28.13,Express,12.99,3,Debit Card,No,,5
ORD-100110,4/21/2023,CUST-02526,Loyal,West,Washington,Mobile App,Electronics,Smartphones,1220.75,5,0.1,610.38,6103.75,5493.37,3784.32,1709.05,Free Shipping,0,5,Credit Card,No,,
ORD-100111,11/18/2023,CUST-07625,Returning,Central,Missouri,Mobile App,Clothing,Accessories,35.83,1,0.07,2.51,35.83,33.32,15.05,18.27,Standard,4.99,5,Credit Card,No,,
ORD-100112,1/31/2023,CUST-02151,Loyal,West,Nevada,In-Store,Home & Garden,Lighting,296.91,4,0,0,1187.64,1187.64,593.82,593.82,Standard,4.99,5,Credit Card,No,,4
ORD-100113,1/24/2022,CUST-06763,New,South,Texas,In-Store,Books,Educational,40.32,2,0.05,4.03,80.64,76.61,30.64,45.97,Overnight,24.99,1,Debit Card,No,,3
ORD-100114,7/20/2024,CUST-06573,Loyal,Central,Missouri,Mobile App,Beauty,Fragrance,93.01,3,0,0,279.03,279.03,111.61,167.42,Free Shipping,0,5,Apple Pay,No,,2
ORD-100115,11/1/2024,CUST-05777,New,South,Florida,Online,Clothing,Accessories,105.42,3,0.05,15.81,316.26,300.45,132.83,167.62,Standard,4.99,3,Debit Card,Yes,Wrong Size,4
ORD-100116,9/24/2023,CUST-01522,New,East,New York,In-Store,Electronics,Headphones,726.44,1,0.05,36.32,726.44,690.12,450.39,239.73,Standard,4.99,4,Debit Card,No,,4
ORD-100117,5/10/2024,CUST-06353,Loyal,West,Nevada,Online,Beauty,Fragrance,104.62,1,0.1,10.46,104.62,94.16,41.85,52.31,Express,12.99,1,PayPal,No,,
ORD-100118,9/4/2023,CUST-02544,Returning,West,Arizona,Online,Food & Beverage,Beverages,75.3,2,0,0,150.6,150.6,82.83,67.77,Standard,4.99,3,Credit Card,No,,5
ORD-100119,5/18/2022,CUST-04295,New,North,North Dakota,In-Store,Clothing,Accessories,96.2,1,0.05,4.81,96.2,91.39,40.4,50.99,Overnight,24.99,1,PayPal,No,,
ORD-100120,10/16/2023,CUST-05560,Returning,East,Pennsylvania,Phone Order,Beauty,Makeup,114.33,3,0.07,24.01,342.99,318.98,137.2,181.78,Standard,4.99,5,Debit Card,No,,4
ORD-100121,2/20/2024,CUST-02846,Returning,West,Washington,Online,Beauty,Fragrance,43.07,2,0.07,6.03,86.14,80.11,34.46,45.65,Standard,4.99,7,Credit Card,No,,5
ORD-100122,3/6/2024,CUST-06935,Loyal,South,Georgia,In-Store,Sports & Outdoors,Cycling,377.49,1,0,0,377.49,377.49,181.2,196.29,Standard,4.99,3,Cash,No,,
ORD-100123,3/21/2023,CUST-01961,VIP,East,New Jersey,Phone Order,Food & Beverage,Coffee & Tea,61.01,2,0.15,18.3,122.02,103.72,67.11,36.61,Free Shipping,0,7,Credit Card,No,,4
ORD-100124,8/3/2023,CUST-07576,Loyal,Central,Indiana,Online,Toys,Educational,196.5,1,0.1,19.65,196.5,176.85,88.42,88.43,Express,12.99,1,Credit Card,No,,4
ORD-100125,10/26/2022,CUST-04111,New,Central,Kansas,In-Store,Electronics,Tablets,762.23,1,0.05,38.11,762.23,724.12,472.58,251.54,Standard,4.99,6,Debit Card,No,,5
ORD-100126,10/1/2024,CUST-06257,New,East,Pennsylvania,Online,Food & Beverage,Coffee & Tea,76.78,1,0.05,3.84,76.78,72.94,42.23,30.71,Free Shipping,0,10,Debit Card,Yes,Defective,4
ORD-100127,11/6/2022,CUST-06400,VIP,West,Oregon,Online,Electronics,Cameras,659.81,1,0.15,98.97,659.81,560.84,409.08,151.76,Free Shipping,0,9,PayPal,Yes,Better Price Found,4
ORD-100128,5/31/2024,CUST-03189,Returning,North,Montana,Online,Home & Garden,Furniture,481.05,1,0.07,33.67,481.05,447.38,240.53,206.85,Free Shipping,0,10,Credit Card,No,,
ORD-100129,6/15/2022,CUST-01677,Returning,West,Nevada,Online,Electronics,Laptops,674.81,1,0.07,47.24,674.81,627.57,418.38,209.19,Overnight,24.99,1,Debit Card,No,,3
ORD-100130,3/9/2023,CUST-02469,Returning,North,Minnesota,In-Store,Food & Beverage,Supplements,74.65,1,0.07,5.23,74.65,69.42,41.06,28.36,Overnight,24.99,1,Credit Card,No,,5
ORD-100131,11/29/2022,CUST-06932,New,West,Arizona,Online,Sports & Outdoors,Water Sports,58.32,2,0,0,116.64,116.64,55.99,60.65,Free Shipping,0,9,PayPal,No,,
ORD-100132,3/23/2024,CUST-06568,VIP,East,Massachusetts,In-Store,Beauty,Skincare,74.44,1,0.15,11.17,74.44,63.27,29.78,33.49,Express,12.99,1,Credit Card,No,,
ORD-100133,11/12/2022,CUST-07236,VIP,West,Oregon,Online,Clothing,Women's Tops,64.9,1,0,0,64.9,64.9,27.26,37.64,Express,12.99,1,Credit Card,No,,4
ORD-100134,7/10/2022,CUST-02988,Loyal,North,Michigan,Online,Beauty,Fragrance,72.91,1,0,0,72.91,72.91,29.16,43.75,Express,12.99,1,PayPal,No,,4
ORD-100135,7/20/2023,CUST-06051,Loyal,West,California,Online,Toys,Outdoor Toys,49.56,1,0,0,49.56,49.56,22.3,27.26,Express,12.99,2,Cash,No,,5
ORD-100136,5/31/2024,CUST-03614,Returning,East,Connecticut,Mobile App,Home & Garden,Bedding,189.03,2,0.07,26.46,378.06,351.6,189.03,162.57,Free Shipping,0,8,Credit Card,No,,
ORD-100137,1/18/2024,CUST-06957,Loyal,South,Louisiana,Phone Order,Clothing,Accessories,100.39,2,0.1,20.08,200.78,180.7,84.33,96.37,Standard,4.99,6,Credit Card,No,,5
ORD-100138,10/13/2022,CUST-04925,New,East,Pennsylvania,In-Store,Books,Non-Fiction,32.44,1,0.05,1.62,32.44,30.82,12.33,18.49,Free Shipping,0,9,PayPal,No,,2
ORD-100139,6/24/2022,CUST-04273,VIP,East,Pennsylvania,In-Store,Clothing,Women's Tops,193.85,1,0.15,29.08,193.85,164.77,81.42,83.35,Overnight,24.99,1,Credit Card,No,,
